ts,mAmps
2018-07-08T20:31:04-03:00,291
2018-07-08T20:31:04-03:00,318
2018-07-08T20:31:04-03:00,291
2018-07-08T20:31:04-03:00,291
2018-07-08T20:31:05-03:00,318
2018-07-08T20:31:05-03:00,291
2018-07-08T20:31:05-03:00,291
2018-07-08T20:31:05-03:00,291
2018-07-08T20:31:05-03:00,291
2018-07-08T20:31:05-03:00,345
2018-07-08T20:31:05-03:00,291
2018-07-08T20:31:05-03:00,291
2018-07-08T20:31:05-03:00,291
2018-07-08T20:31:05-03:00,291
2018-07-08T20:31:06-03:00,291
2018-07-08T20:31:06-03:00,318
2018-07-08T20:31:06-03:00,291
2018-07-08T20:31:06-03:00,291
2018-07-08T20:31:06-03:00,318
2018-07-08T20:31:06-03:00,291
2018-07-08T20:31:06-03:00,291
2018-07-08T20:31:06-03:00,264
2018-07-08T20:31:06-03:00,291
2018-07-08T20:31:06-03:00,291
2018-07-08T20:31:07-03:00,291
2018-07-08T20:31:07-03:00,264
2018-07-08T20:31:07-03:00,318
2018-07-08T20:31:07-03:00,264
2018-07-08T20:31:07-03:00,291
2018-07-08T20:31:07-03:00,264
2018-07-08T20:31:07-03:00,318
2018-07-08T20:31:07-03:00,318
2018-07-08T20:31:07-03:00,345
2018-07-08T20:31:07-03:00,291
2018-07-08T20:31:08-03:00,291
2018-07-08T20:31:08-03:00,291
2018-07-08T20:31:08-03:00,291
2018-07-08T20:31:08-03:00,291
2018-07-08T20:31:08-03:00,291
2018-07-08T20:31:08-03:00,264
2018-07-08T20:31:08-03:00,291
2018-07-08T20:31:08-03:00,291
2018-07-08T20:31:08-03:00,318
2018-07-08T20:31:08-03:00,291
2018-07-08T20:31:09-03:00,264
2018-07-08T20:31:09-03:00,318
2018-07-08T20:31:09-03:00,291
2018-07-08T20:31:09-03:00,291
2018-07-08T20:31:09-03:00,264
2018-07-08T20:31:09-03:00,291
2018-07-08T20:31:09-03:00,318
2018-07-08T20:31:09-03:00,291
2018-07-08T20:31:09-03:00,318
2018-07-08T20:31:09-03:00,264
2018-07-08T20:31:10-03:00,291
2018-07-08T20:31:10-03:00,291
2018-07-08T20:31:10-03:00,291
2018-07-08T20:31:10-03:00,318
2018-07-08T20:31:10-03:00,291
2018-07-08T20:31:10-03:00,264
2018-07-08T20:31:10-03:00,291
2018-07-08T20:31:10-03:00,291
2018-07-08T20:31:10-03:00,291
2018-07-08T20:31:10-03:00,318
2018-07-08T20:31:11-03:00,264
2018-07-08T20:31:11-03:00,291
2018-07-08T20:31:11-03:00,318
2018-07-08T20:31:11-03:00,291
2018-07-08T20:31:11-03:00,264
2018-07-08T20:31:11-03:00,264
2018-07-08T20:31:11-03:00,291
2018-07-08T20:31:11-03:00,264
2018-07-08T20:31:11-03:00,264
2018-07-08T20:31:11-03:00,291
2018-07-08T20:31:12-03:00,291
2018-07-08T20:31:12-03:00,318
2018-07-08T20:31:12-03:00,264
2018-07-08T20:31:12-03:00,264
2018-07-08T20:31:12-03:00,264
2018-07-08T20:31:12-03:00,291
2018-07-08T20:31:12-03:00,318
2018-07-08T20:31:12-03:00,291
2018-07-08T20:31:12-03:00,264
2018-07-08T20:31:12-03:00,264
2018-07-08T20:31:13-03:00,237
2018-07-08T20:31:13-03:00,291
2018-07-08T20:31:13-03:00,291
2018-07-08T20:31:13-03:00,318
2018-07-08T20:31:13-03:00,318
2018-07-08T20:31:13-03:00,318
2018-07-08T20:31:13-03:00,291
2018-07-08T20:31:13-03:00,318
2018-07-08T20:31:13-03:00,264
2018-07-08T20:31:13-03:00,291
2018-07-08T20:31:14-03:00,291
2018-07-08T20:31:14-03:00,318
2018-07-08T20:31:14-03:00,318
2018-07-08T20:31:14-03:00,291
2018-07-08T20:31:14-03:00,291
2018-07-08T20:31:14-03:00,318
2018-07-08T20:31:14-03:00,318
2018-07-08T20:31:14-03:00,291
2018-07-08T20:31:14-03:00,291
2018-07-08T20:31:14-03:00,291
2018-07-08T20:31:15-03:00,291
2018-07-08T20:31:15-03:00,264
2018-07-08T20:31:15-03:00,264
2018-07-08T20:31:15-03:00,291
2018-07-08T20:31:15-03:00,264
2018-07-08T20:31:15-03:00,291
2018-07-08T20:31:15-03:00,264
2018-07-08T20:31:15-03:00,291
2018-07-08T20:31:15-03:00,345
2018-07-08T20:31:15-03:00,264
2018-07-08T20:31:16-03:00,237
2018-07-08T20:31:16-03:00,318
2018-07-08T20:31:16-03:00,264
2018-07-08T20:31:16-03:00,264
2018-07-08T20:31:16-03:00,264
2018-07-08T20:31:16-03:00,216
2018-07-08T20:31:16-03:00,237
2018-07-08T20:31:16-03:00,237
2018-07-08T20:31:16-03:00,264
2018-07-08T20:31:16-03:00,264
2018-07-08T20:31:17-03:00,216
2018-07-08T20:31:17-03:00,264
2018-07-08T20:31:17-03:00,237
